sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,label
0.0049,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0049,0,0,0,0,4
0.0078,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0049,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0059,0,0,0,0,4
0.0068,0,0,0,0,4
0.0049,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0.0156,0.0068,0.0049,0.0039,6
0,0.0205,0.0068,0.0039,0.0049,6
0,0.0215,0.0078,0.0039,0.0059,6
0,0.0196,0.0078,0.0059,0.0049,6
0,0.0196,0.0078,0.0049,0.0049,6
0,0.0205,0.0078,0.0049,0.0039,6
0,0.0176,0.0059,0.0049,0.0039,6
0,0.0176,0.0068,0.0049,0.0059,6
0,0.0196,0.0059,0.0049,0.0039,6
0,0.0176,0.0068,0.0068,0.0049,6
0,0.0225,0.0049,0.0049,0.0039,6
0,0.0196,0.0088,0.0039,0.0039,6
0,0.0176,0.0068,0.0039,0.0039,6
0,0.0156,0.0078,0.0049,0.0039,6
0,0.0156,0.0068,0.0049,0.0039,6
0,0.0196,0.0078,0.0039,0.0059,6
0,0.0186,0.0078,0.0039,0.0049,6
0,0.0186,0.0059,0.0049,0.0039,6
0,0.0205,0.0078,0.0039,0.0068,6
0,0.0196,0.0068,0.0039,0.0039,6
0,0.0196,0.0049,0.0039,0.0049,6
0,0.0147,0.0068,0.0039,0.0039,6
0,0.0166,0.0068,0.0039,0.0059,6
0,0.0196,0.0059,0.0049,0.0049,6
0,0.0196,0.0078,0.0039,0.0059,6
0,0.0196,0.0049,0.0059,0.0049,6
0,0.0176,0.0068,0.0039,0.0039,6
0,0.0225,0.0078,0.0049,0.0039,6
0,0.0166,0.0059,0.0059,0.0049,6
0,0.0186,0.0078,0.0039,0.0049,6
0,0.0186,0.0068,0.0039,0.0039,6
0,0.0166,0.0059,0.0059,0.0049,6
0,0.0196,0.0068,0.0049,0.0039,6
0,0.0205,0.0078,0.0039,0.0068,6
0,0.0215,0.0078,0.0039,0.0059,6
0,0.0196,0.0068,0.0049,0.0049,6
0,0.0225,0.0068,0.0039,0.0039,6
0,0.0196,0.0068,0.0039,0.0039,6
0,0.0225,0.0068,0.0039,0.0039,6
0,0.0176,0.0068,0.0049,0.0049,6
0,0.0186,0.0078,0.0059,0.0059,6
0,0.0196,0.0049,0.0039,0.0049,6
0,0.0196,0.0049,0.0059,0.0049,6
0,0.0196,0.0049,0.0059,0.0049,6
0,0.0196,0.0068,0.0049,0.0039,6
0,0.0176,0.0078,0.0049,0.0039,6
0,0.0196,0.0068,0.0049,0.0049,6
0,0.0156,0.0078,0.0049,0.0039,6
0,0.0166,0.0068,0.0049,0.0049,6
0,0.0166,0.0078,0.0049,0.0059,6
0,0.0196,0.0068,0.0039,0.0039,6
0,0.0147,0.0068,0.0039,0.0039,6
0,0.0196,0.0059,0.0039,0.0039,6
0,0.0196,0.0068,0.0049,0.0039,6
0,0.0196,0.0068,0.0039,0.0039,6
0,0.0186,0.0059,0.0039,0.0039,6
0,0.0176,0.0068,0.0049,0.0059,6
0,0.0215,0.0078,0.0039,0.0059,6
0,0.0176,0.0068,0.0039,0.0039,6
0,0.0186,0.0059,0.0039,0.0039,6
0,0.0235,0.0088,0.0049,0.0039,6
0,0.0176,0.0059,0.0039,0.0049,6
0,0.0186,0.0059,0.0039,0.0039,6
0,0.0235,0.0088,0.0049,0.0039,6
0,0.0186,0.0068,0.0039,0.0039,6
0,0.0196,0.0068,0.0049,0.0039,6
0,0.0186,0.0068,0.0039,0.0039,6
0,0.0147,0.0068,0.0049,0.0039,6
0,0.0205,0.0049,0.0039,0.0039,6
0,0.0225,0.0078,0.0049,0.0039,6
0,0.0196,0.0059,0.0039,0.0039,6
0,0.0225,0.0068,0.0039,0.0039,6
0,0.0176,0.0059,0.0049,0.0039,6
0,0.0176,0.0068,0.0039,0.0039,6
0,0.0196,0.0068,0.0039,0.0039,6
0,0.0186,0.0078,0.0039,0.0049,6
0,0.0156,0.0068,0.0049,0.0039,6
0,0.0166,0.0068,0.0049,0.0049,6
0,0.0196,0.0068,0.0059,0.0059,6
0,0.0196,0.0068,0.0049,0.0039,6
0,0.0176,0.0068,0.0039,0.0039,6
0,0.0205,0.0078,0.0039,0.0039,6
0,0.0196,0.0068,0.0039,0.0039,6
0,0.0156,0.0068,0.0059,0.0039,6
0,0.0196,0.0049,0.0059,0.0049,6
0,0.0176,0.0068,0.0049,0.0039,6
0,0.0205,0.0049,0.0049,0.0059,6
0,0.0225,0.0078,0.0049,0.0039,6
0,0.0176,0.0068,0.0039,0.0039,6
0,0.0196,0.0078,0.0049,0.0049,6
0,0.0186,0.0078,0.0039,0.0039,6
0,0.0176,0.0068,0.0049,0.0059,6
0,0.0225,0.0068,0.0039,0.0039,6
